Year,Month,Anomaly
1993,January,0.35
1993,February,0.37
1993,March,0.36
1993,April,0.28
1993,May,0.28
1993,June,0.23
1993,July,0.25
1993,August,0.11
1993,September,0.12
1993,October,0.23
1993,November,0.04
1993,December,0.18
1994,January,0.26
1994,February,0.03
1994,March,0.29
1994,April,0.42
1994,May,0.28
1994,June,0.44
1994,July,0.3
1994,August,0.22
1994,September,0.32
1994,October,0.42
1994,November,0.44
1994,December,0.38
1995,January,0.52
1995,February,0.79
1995,March,0.47
1995,April,0.46
1995,May,0.27
1995,June,0.44
1995,July,0.45
1995,August,0.45
1995,September,0.34
1995,October,0.48
1995,November,0.44
1995,December,0.25
1996,January,0.24
1996,February,0.46
1996,March,0.33
1996,April,0.32
1996,May,0.28
1996,June,0.26
1996,July,0.37
1996,August,0.48
1996,September,0.25
1996,October,0.2
1996,November,0.39
1996,December,0.37
1997,January,0.3
1997,February,0.41
1997,March,0.52
1997,April,0.34
1997,May,0.34
1997,June,0.54
1997,July,0.34
1997,August,0.42
1997,September,0.52
1997,October,0.61
1997,November,0.64
1997,December,0.59
1998,January,0.58
1998,February,0.88
1998,March,0.63
1998,April,0.63
1998,May,0.68
1998,June,0.77
1998,July,0.66
1998,August,0.66
1998,September,0.42
1998,October,0.42
1998,November,0.43
1998,December,0.55
1999,January,0.49
1999,February,0.64
1999,March,0.32
1999,April,0.32
1999,May,0.27
1999,June,0.36
1999,July,0.38
1999,August,0.32
1999,September,0.39
1999,October,0.35
1999,November,0.37
1999,December,0.41
2000,January,0.25
2000,February,0.56
2000,March,0.56
2000,April,0.56
2000,May,0.36
2000,June,0.4
2000,July,0.39
2000,August,0.42
2000,September,0.39
2000,October,0.28
2000,November,0.31
2000,December,0.28
2001,January,0.46
2001,February,0.44
2001,March,0.56
2001,April,0.51
2001,May,0.58
2001,June,0.52
2001,July,0.59
2001,August,0.5
2001,September,0.52
2001,October,0.51
2001,November,0.73
2001,December,0.56
2002,January,0.77
2002,February,0.79
2002,March,0.88
2002,April,0.58
